"","cra","phoB","dpiA","fur","modE","lrp","ihfB","ihfA","rpoS","rpoD","fis","crp","rpoH","oxyR","soxS","arcA"
"96",8.123790752,5.515775648,4.710974095,9.238461918,6.357670398,8.520761065,9.214777739,8.860294031,10.68472376,10.06649282,7.12269362,9.900137695,9.731255409,7.833739419,6.27889564,10.74584279
"97",7.769363775,5.29737564,4.71369608,9.351952671,6.263863069,10.02349849,9.702537644,9.908548521,10.05713296,9.499039325,9.368163858,9.664181541,8.437659426,7.956891905,6.215996959,9.407695659
"98",7.590120713,4.606343788,4.103743279,9.197048333,6.05733669,10.06303529,8.247788097,8.609084344,9.307038916,10.52567043,8.457934751,9.166121537,8.41530993,7.829553232,3.144306263,9.272880117
"99",7.65376126,4.050288248,4.829407101,9.326438674,5.925880295,10.09772298,8.261182931,8.587951502,9.285349141,10.55102551,8.681704931,9.356104208,8.460758385,7.773603924,4.072959683,9.339488358
"100",7.133434505,5.48889718,4.569124401,8.932547997,6.16665188,8.077607856,8.489173965,8.626564052,9.308006352,10.76561884,8.867521337,9.768133342,9.292743432,7.509482868,6.560026131,9.83119471
"101",7.193154393,5.193096486,4.706417314,8.889867042,6.044971388,7.922816436,8.429970868,8.52587773,9.362548148,10.77048767,8.781580167,9.77652659,9.202930881,7.523440398,6.494486401,9.870372898
"102",7.965926223,5.245423758,4.416657448,9.343227407,5.929774444,9.826941008,9.77280612,9.654914748,9.852525138,8.796633643,9.206783969,9.657107301,8.520130514,7.726809256,6.369269338,9.332060504
"103",8.000769752,5.385595888,4.243035116,9.294766295,6.10241526,9.794383436,9.420623603,9.337800903,10.40104326,9.005848394,9.117612098,9.659486534,8.376478405,7.766855983,5.803774435,9.477886903
"104",8.068854221,5.317829207,4.238893358,9.45118183,6.168017135,9.915467007,9.550234677,9.375805084,10.31566115,8.925320279,9.095063962,9.705562582,8.460809092,7.652301893,5.488107434,9.375630613
"105",6.947456619,5.314633635,5.120279751,8.93947171,7.112028409,10.43942192,9.334187383,9.430219891,10.68534332,9.906127473,5.802774459,10.95407812,9.641458898,8.372737255,5.818229233,10.28986419
"106",7.373848154,5.767909978,5.284779854,9.072339409,7.046165458,10.2825419,9.275106822,9.539290798,10.51936087,9.877545453,6.149064152,11.09207244,9.807872012,8.574368991,5.842415346,10.38882761
"107",7.589317556,5.862327277,5.054806297,9.241446685,6.664695082,10.21789418,8.833712453,8.925034742,10.38645829,9.895452103,7.122477377,10.4839016,8.931407998,8.077646471,6.382862871,10.36754642
"108",7.612792344,5.936014585,4.794632585,9.236856736,6.659431211,10.14922376,8.872997863,9.042832691,10.5112933,9.926253148,6.985059491,10.46580695,8.871758112,8.16653316,6.28219343,10.42341813
"109",7.586977749,5.940959907,5.045646916,9.141045185,6.543842688,10.13193704,8.752136095,8.942263194,10.40759111,9.913655115,7.107473233,10.50039961,8.819207959,8.188927981,6.11268607,10.36769751
"110",9.048050886,5.782768936,4.95648366,8.965099912,6.459899369,10.18143285,9.437309054,9.100592459,11.35976971,9.423437461,6.590827266,11.56564174,8.746924691,8.515975138,5.608848401,9.762091389
"111",8.981311663,5.521757082,4.782700804,9.066199493,6.258663454,10.21675666,9.250975425,8.790326852,11.14261041,9.38860094,6.771613041,11.47848193,8.795894684,8.486269476,5.62179341,9.796274853
"112",9.134356304,5.873107912,4.787508353,9.171965006,6.512573138,10.21770143,9.094446746,8.891814156,11.13665453,9.406699125,6.965441732,11.42138228,8.782644442,8.473771645,5.25690248,9.906852924
"113",6.809080174,5.012958943,5.137683652,9.573138223,6.633835185,9.950155561,10.31424852,10.21554886,10.74979103,10.24603099,6.591907374,11.26886026,10.08667975,8.744174979,5.855394052,10.38267475
"114",7.259962102,4.81889796,4.277201242,9.211614603,6.019698423,10.04160601,9.244536422,9.269287926,9.764527683,10.01681973,8.462372995,9.976583078,8.716505902,8.24868153,6.201343328,9.435935124
"115",7.645186311,4.499292091,3.603763613,9.095506255,5.629857709,9.766389997,8.814896015,9.442401072,9.013292675,9.7611175,8.736668916,10.06888501,8.390194443,7.874557008,6.48301893,9.606151501
"116",7.145741999,4.636752058,4.355569229,9.202997666,5.444072943,9.778816392,8.708022424,8.993517698,9.000907125,10.32620848,9.472961515,9.551929017,8.11351972,7.572784473,5.62322822,9.303986803
"117",7.20009531,5.051165962,5.509303588,9.505275948,6.822930459,10.04128718,10.37683553,10.42592518,10.83464808,9.745805874,6.827855536,11.217305,9.674765392,8.735825979,6.343880746,10.44946882
"118",7.075107022,4.75841951,4.350501416,9.355236069,6.295484169,10.21559346,9.720122925,9.639131503,9.762827894,10.08439378,7.130992252,10.49508479,9.189662036,8.421637497,5.394115574,10.13738493
"119",6.758600909,4.617308876,5.093471032,9.457177991,6.328907229,9.941063162,9.944579414,9.825707428,9.942563326,9.791663648,6.873724859,10.98054914,9.809949565,8.32827181,5.619058183,10.17998211
"120",7.574864843,5.478902948,5.162014015,8.894200158,6.250072785,9.90123749,8.379241305,8.558741218,9.889980116,9.690413064,7.751160083,9.78030154,9.103919529,8.180270025,5.607400523,10.05693236
"121",8.051212958,4.701656746,5.217903368,9.264583081,6.524542699,10.14869126,9.625992109,8.970305749,9.501931271,8.719940333,7.061978045,10.18479698,8.877318242,8.761751907,5.627911872,10.46253181
"122",6.909972261,4.807481351,4.931621405,9.027840404,5.952126923,10.20703607,9.41002562,9.850534797,9.654977839,9.593507157,8.687826606,9.716489142,9.260765347,8.083084798,6.314024481,9.830588795
"123",7.72760756,4.927230514,4.935149718,9.279117659,6.34457404,9.703291673,9.866766682,8.948027826,9.378500716,9.393095316,8.80507362,9.360099101,8.985471852,8.122227668,6.195668375,9.232112433
"124",6.590520578,5.128288172,4.570996283,9.332510805,6.100689927,10.13532522,9.348487362,9.79515478,9.887034084,9.680688057,6.100491821,9.820674575,9.785525047,8.276935093,6.593336458,9.51914339
"125",7.119348032,5.250369415,5.21297273,9.171848129,6.254840376,9.990992697,9.413487737,9.701378584,9.52126926,9.56692236,9.960896264,9.470156769,8.503641898,7.672740349,6.309118723,9.680761473
"126",7.768931989,4.344261129,4.54609971,10.0175823,6.647933111,9.008231371,10.06836307,8.321634676,8.184928088,8.536479512,8.032955715,10.12982905,9.33622282,9.137405472,5.967870819,10.61827425
"127",6.895628998,5.092515204,4.468615344,9.994518067,6.718197128,9.803821562,9.831015051,9.735641563,9.300797381,9.207206634,6.751509692,10.54074342,10.15506023,8.573694668,6.755332977,10.22816522
"128",7.21665904,4.686692413,4.744730045,9.142550273,6.047984336,10.06660346,9.464510421,9.56594741,9.457409655,9.420318708,9.470212887,10.00566857,8.66214348,8.116201325,6.465571935,9.319424235
"129",6.976171116,5.019100007,5.100118261,9.988631867,6.755090369,10.13949926,9.722658977,9.668658206,9.407799905,9.073073713,6.578425432,10.22607974,10.06727309,8.488053057,5.796393513,9.850008569
"130",7.484879147,5.687327746,4.691829341,9.378856925,5.830271935,9.12933188,9.840191013,10.46502246,11.50542226,9.149649227,8.937657934,10.1462174,9.634081269,6.946742706,6.43153763,10.72477133
"131",7.82758785,4.698338509,4.749199186,9.54889312,6.464928983,10.05772822,9.448902286,9.796412725,9.246806213,8.860224012,9.554758774,9.930583175,8.337213601,7.205335375,6.673728496,9.624244695
"132",8.934665057,5.084652445,4.202388114,9.30023179,6.764366549,8.001921142,9.599822462,10.46607189,10.04866505,9.606327331,9.572409856,10.2254869,9.185905239,7.923085409,4.574912212,10.44595362
"133",7.284180074,4.980559207,4.503513113,9.665425353,6.633307832,8.744959755,9.989574088,11.09139007,10.37931422,9.296567245,8.577543486,10.46873623,9.069171552,7.944776367,4.754889612,8.332868568
"134",8.434068943,5.083661166,4.96546028,9.30507689,6.392517282,10.39398307,10.25220095,10.1385955,9.366799497,9.66523756,9.313670421,10.25233895,8.662000135,7.976755962,4.240316469,9.783347199
"135",7.831200143,5.426657058,5.531964984,9.357975943,6.532561677,10.60551743,10.75099324,10.35017666,10.64833449,9.89836401,8.724983215,10.54201816,9.14249208,8.045703756,6.079762873,9.917181678
"136",8.399495487,4.43970957,4.739343628,9.504059987,6.631231299,10.1473698,10.26683443,10.14121542,9.554808373,9.594608953,9.191716496,10.35092091,8.658996042,8.378920785,5.132390533,9.851557472
"137",8.308946828,5.801967184,4.867115032,9.067884279,6.41029188,9.835202629,10.5662872,9.815117547,10.46298878,9.744499793,9.579790683,10.30196806,8.943369508,8.247747797,4.705488861,9.783325335
"138",7.911261519,5.991019945,5.372812552,9.279363888,5.887039152,10.30562383,9.989097891,9.695514934,10.96670317,10.4792755,9.703683657,10.29807724,9.428187603,7.909746465,6.531514654,9.866272795
